Scope,Interactive,Source,App,
d,n,w,Logitech.GHUB,
d,n,w,Nvidia.GeForceExperience,
d,n,w,Microsoft.PowerToys,
d,y,w,Microsoft.VisualStudioCode,
d,y,w,Anysphere.Cursor,
d,y,w,Microsoft.PowerShell,
d,n,w,M2Team.NanaZip,
d,n,w,JAMSoftware.TreeSize.Free,
d,n,w,Iterate.Cyberduck,
d,n,w,HermannSchinagl.LinkShellExtension,
d,n,w,tailscale.tailscale,
d,n,w,Mozilla.Firefox,
d,n,w,Elgato.StreamDeck,
d,y,w,AgileBits.1Password,
d,n,w,Valve.Steam,
d,n,w,TeamSpeakSystems.TeamSpeakClient,
d,y,w,Git.Git,
d,n,w,Amazon.AWSCLI,
d,n,w,Audacity.Audacity,
d,n,w,VideoLAN.VLC,
d,n,w,Rufus.Rufus,
d,n,w,JanDeDobbeleer.OhMyPosh,
d,n,w,nilesoft.shell,
d,n,w,Microsoft.WindowsTerminal,
d,n,w,Docker.DockerDesktop,
